,present_products,all_products,all_variants
59,Điện thoại realme 12 8GB/256GB,"['Điện thoại realme 12 8GB/256GB', 'Điện thoại realme 12 8GB/512GB']","['256GB', '512GB']"
60,Điện thoại vivo Y03 4GB/64GB,"['Điện thoại vivo Y03 4GB/64GB', 'Điện thoại vivo Y03 4GB/128GB']","['64GB', '128GB']"
61,Điện thoại realme Note 60 4GB/128GB,"['Điện thoại realme Note 60 4GB/128GB', 'Điện thoại realme Note 60 4GB/64GB', 'Điện thoại realme Note 60 6GB/128GB']","['4GB - 128GB', '4GB - 64GB', '6GB - 128GB']"
62,Điện thoại vivo V30e 5G 8GB/256GB,"['Điện thoại vivo V30e 5G 8GB/256GB', 'Điện thoại vivo V30e 5G 12GB/256GB']","['8GB', '12GB']"
63,Điện thoại realme Note 50 3GB/64GB,"['Điện thoại realme Note 50 3GB/64GB', 'Điện thoại realme Note 50 4GB/128GB']","['3GB - 64GB', '4GB - 128GB']"
64,Điện thoại vivo V30 5G 12GB/512GB,['Điện thoại vivo V30 5G 12GB/512GB'],[None]
65,Điện thoại realme C61 4GB/128GB,['Điện thoại realme C61 4GB/128GB'],[None]
66,Điện thoại Viettel Sumo 4G T2,['Điện thoại Viettel Sumo 4G T2'],[None]
67,Điện thoại Nokia 105 4G Pro,['Điện thoại Nokia 105 4G Pro'],[None]
68,Điện thoại Benco 4G G3,['Điện thoại Benco 4G G3'],[None]
69,Điện thoại Samsung Galaxy A55 5G 8GB/256GB,"['Điện thoại Samsung Galaxy A55 5G 8GB/256GB', 'Điện thoại Samsung Galaxy A55 5G 12GB/256GB']","['8GB - 256GB', '12GB - 256GB']"
70,Điện thoại Masstel IZI T6 4G,['Điện thoại Masstel IZI T6 4G'],[None]
71,Điện thoại Mobell M239 4G,['Điện thoại Mobell M239 4G'],[None]
72,Điện thoại Nokia HMD 105 4G,['Điện thoại Nokia HMD 105 4G'],[None]
73,Điện thoại Nokia 220 4G,['Điện thoại Nokia 220 4G'],[None]
74,Điện thoại Masstel IZI 10,['Điện thoại Masstel IZI 10'],[None]
75,Điện thoại Samsung Galaxy M35 5G 8GB/256GB,['Điện thoại Samsung Galaxy M35 5G 8GB/256GB'],[None]
76,Điện thoại Nokia 110 4G Pro,['Điện thoại Nokia 110 4G Pro'],[None]
77,Điện thoại Masstel Fami 50 4G,['Điện thoại Masstel Fami 50 4G'],[None]
78,Điện thoại Mobell F309 4G,['Điện thoại Mobell F309 4G'],[None]
79,Điện thoại OPPO Reno12 5G 12GB/256GB,"['Điện thoại OPPO Reno12 5G 12GB/256GB', 'Điện thoại OPPO Reno12 5G 12GB/512GB']","['256GB', '512GB']"
80,Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB,"['Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB', 'Điện thoại Samsung Galaxy S25 Plus 5G 12GB/512GB']","['256GB', '512GB']"
81,Điện thoại HONOR X7c 8GB/256GB,['Điện thoại HONOR X7c 8GB/256GB'],[None]
82,Điện thoại Samsung Galaxy A16 4GB/128GB,"['Điện thoại Samsung Galaxy A16 4GB/128GB', 'Điện thoại Samsung Galaxy A16 8GB/256GB', 'Điện thoại Samsung Galaxy A16 8GB/128GB']","['4GB - 128GB', '8GB - 256GB', '8GB - 128GB']"
83,Điện thoại Samsung Galaxy M15 5G 4GB/128GB,"['Điện thoại Samsung Galaxy M15 5G 4GB/128GB', 'Điện thoại Samsung Galaxy M15 5G 6GB/128GB']","['4GB', '6GB']"
84,Điện thoại Mobell M539,['Điện thoại Mobell M539'],[None]
85,Điện thoại Mobell M331 4G,['Điện thoại Mobell M331 4G'],[None]
86,Điện thoại Mobell F209,['Điện thoại Mobell F209'],[None]
87,Điện thoại Masstel Fami 60S 4G,['Điện thoại Masstel Fami 60S 4G'],[None]
88,Điện thoại vivo Y18 4GB/128GB,"['Điện thoại vivo Y18 4GB/128GB', 'Điện thoại vivo Y18 8GB/128GB']","['4GB', '8GB']"
89,Điện thoại OPPO Reno12 5G 12GB/256GB Hồng,['Điện thoại OPPO Reno12 5G 12GB/256GB Hồng'],[None]
90,Điện thoại Nokia 3210 4G,['Điện thoại Nokia 3210 4G'],[None]
91,Điện thoại Samsung Galaxy Z Flip6 5G 12GB/256GB,"['Điện thoại Samsung Galaxy Z Flip6 5G 12GB/256GB', 'Điện thoại Samsung Galaxy Z Flip6 5G 12GB/512GB']","['256GB', '512GB']"
92,Điện thoại OPPO Reno12 Pro 5G 12GB/512GB,['Điện thoại OPPO Reno12 Pro 5G 12GB/512GB'],[None]
93,Điện thoại Samsung Galaxy M54 5G 8GB/256GB,['Điện thoại Samsung Galaxy M54 5G 8GB/256GB'],[None]
94,Điện thoại Itel it9211,['Điện thoại Itel it9211'],[None]
95,Điện thoại Itel it9310,['Điện thoại Itel it9310'],[None]
96,Điện thoại OPPO Reno12 F 5G 8GB/256GB,"['Điện thoại OPPO Reno12 F 5G 8GB/256GB', 'Điện thoại OPPO Reno12 F 5G 12GB/256GB']","['8GB', '12GB']"
97,Điện thoại OPPO A38 6GB/128GB,['Điện thoại OPPO A38 6GB/128GB'],[None]
98,Điện thoại Samsung Galaxy S23 FE 5G 8GB/128GB Xanh mint/Trắng,['Điện thoại Samsung Galaxy S23 FE 5G 8GB/128GB Xanh mint/Trắng'],[None]
99,Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng,"['Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng', 'Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Đen/Vàng đồng']","['Hồng', 'Đen + Vàng đồng']"
100,Điện thoại HONOR 200 5G 12GB/256GB,"['Điện thoại HONOR 200 5G 12GB/256GB', 'Điện thoại HONOR 200 5G 12GB/512GB']","['256GB', '512GB']"
101,Điện thoại vivo Y100 8GB/128GB,"['Điện thoại vivo Y100 8GB/128GB', 'Điện thoại vivo Y100 8GB/256GB']","['128GB', '256GB']"
102,Điện thoại HONOR Magic V3 5G 12GB/512GB,['Điện thoại HONOR Magic V3 5G 12GB/512GB'],[None]
103,Điện thoại OPPO Find N3 5G 16GB/512GB,['Điện thoại OPPO Find N3 5G 16GB/512GB'],[None]
104,Điện thoại OPPO A58 8GB/128GB,['Điện thoại OPPO A58 8GB/128GB'],[None]
105,Điện thoại Itel it2600,['Điện thoại Itel it2600'],[None]
